Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata"  /shape:1 /dtm:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.dtm" /height:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.lda" "C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\working\clipplot2.lda" 488415.493109 5189217.21824 488465.493109 5189267.21824","Mon Jul 21 13:42:50 2025","Mon Jul 21 13:42:50 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata"  /shape:1 /dtm:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.dtm" /height:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.lda" "C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\working\clipplot3.lda" 487700.081078 5189188.03520 487750.081078 5189238.03520","Mon Jul 21 13:42:50 2025","Mon Jul 21 13:42:50 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:3,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:25:20 2025","Mon Jul 21 14:25:20 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:3,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:27:24 2025","Mon Jul 21 14:27:24 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:3,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:43:04 2025","Mon Jul 21 14:43:10 2025",6,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:2,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:44:24 2025","Mon Jul 21 14:44:24 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:2,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:44:27 2025","Mon Jul 21 14:44:27 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:0,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:45:17 2025","Mon Jul 21 14:45:17 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:1,* ..\Data\LLY\Plot_Polygon\Plot_Buffer_11m.shp ..\Data\LLY\Output\stand.las ..\Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:52:23 2025","Mon Jul 21 14:53:23 2025",60,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id ..\Data\LLY\Output\stand_*.las ..\Data\LLY\Output\stand_metrics.csv","Mon Jul 21 15:01:08 2025","Mon Jul 21 15:01:09 2025",1,Success
